"alloy_batch","id"
"284030014 厚板Hastelloy N","1"
"最早一批GH3535直径16mm的热轧棒","2"
"5055 ORNL Hastelloy N","3"
"5075 ORNL Hastelloy N","4"
"5081 ORNL Hastelloy N","5"
"13242210373 22mm 厚板 GH3535","6"
"13242210079 4mm厚板 GH3535","7"
"13242210435 20mm厚板 GH3535","8"
"Z3754CG13  直径12.7mm的热轧棒","9"
"284030014 薄板Hastelloy N","10"
"13242210373 4mm 薄板 GH3535","11"
"NULL","12"
"SF0用GH3535板材22mm炉号16242200109
","13"
"SF0用GH3535板材22mm炉号16242340125
","14"
"SF0用GH3535板材30mm炉号15242190365","15"
"SF0用GH3535板材72mm炉号15242200155","16"
"SF0用GH3535棒材φ25mm炉号16242200111","17"
"SF0用GH3535棒材φ130mm炉号16242190107","18"
"SF0用GH3535环件φ1310mm炉号16242320119","19"
"SF0用GH3535环件φ3000mm炉号15242200155","20"
