"id","report_type","report_name","report_addr","report_maintainer","report_index"
"1","ASME 标准","ASME BPVC-ⅡD-M-2015 p790","","","AD-0001"
"2","ASME 标准","ASME BPVC-ⅡD-M-2015 p792","","","AD-0002"
"3","ASME 标准","ASME BPVC-ⅡD-M-2015 p778","","","AD-0003"
"4","ASME 标准","ASME BPVC-ⅡD-M-2015 p766","","","AD-0004"
"5","ASME 标准","ASME BPVC-ⅡD-M-2015 p246-249","","","AD-0005"
"6","ASME 标准","ASME BPVC-ⅡD-M-2015 p368-371","","","AD-0006"
"7","ORNL 报告","ORNL3708-1964 P349-350","","","AD-0009"
"8","ORNL 报告","ORNL-TM-1017, P7-9","","","AD-0010"
"9","汉斯手册","汉斯手册-Hastelloy N合金篇","","","AD-0008"
"10","SINAP 报告","Hastelloy合金的杨氏模量、剪切模量、泊松比检测报告","","","AD-0007"
"11","SINAP 报告","Hastelloy合金的热膨胀系数、高温密度检测报告","","","AD-0012"
"12","SINAP 报告","Hastelloy/GH3535合金的冲击性能检测报告","","","AD-0013"
"13","SINAP 报告","Hastelloy/GH3535合金的高温抗氧化性能评估报告","","","AD-0014"
"14","NONE","NONE","NONE","NONE","AD-0011"
